Single Sampling Plans For Normal Inspection,,,,,,,,,,,,,,,,,,,,,,,
Sample Size Code Letter,Sample Size,Acceptable Quality Levels( Normal Inspection),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,0.065,,0.1,,0.15,,0.25,,0.4,,0.65,,1,,1.5,,2.5,,4,,6.5,
,,ACC,REJ,ACC,REJ,ACC,REJ,ACC,REJ,ACC,REJ,ACC,REJ,ACC,REJ,ACC,REJ,ACC,REJ,ACC,REJ,ACC,REJ
A,2,,,,,,,,,,,,,,,,,,,,,0,1
B,3,,,,,,,,,,,,,,,,,,,0,1,,
C,5,,,,,,,,,,,,,,,,,0,1,,,,
D,8,,,,,,,,,,,,,,,0,1,,,,,1,2
E,13,,,,,,,,,,,,,0,1,,,,,1,2,2,3
F,20,,,,,,,,,,,0,1,,,,,,,2,3,3,4
G,32,,,,,,,,,0,1,,,,,1,2,1,2,3,4,5,6
H,50,,,,,,,0,1,,,,,1,2,2,3,2,3,5,6,7,8
J,80,,,,,0,1,,,,,,,2,3,3,4,3,4,7,8,10,11
K,125,,,0,1,,,,,1,2,2,3,3,4,5,6,7,6,10,11,14,15
L,200,0,1,,,,,1,2,2,3,3,4,5,6,7,8,10,11,14,15,21,22
M,315,,,,,1,2,2,3,3,4,5,6,7,8,10,15,14,15,21,22,,
N,500,,,1,2,2,3,3,4,5,6,7,8,10,11,14,15,21,22,,,,
P,800,1,2,2,3,3,4,5,6,7,8,10,11,14,15,21,22,,,,,,
Q,1250,2,3,3,4,5,6,7,8,10,11,14,15,21,22,,,,,,,,
R,2000,3,4,5,6,7,8,10,11,14,15,21,22,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Use first sampling plan above arrow, if sample size equals or exceeds lot or batch size, do 100 percent inspection.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,ACC: Acceptance number,,,,,,,,,,,,,,,REJ: Rejection number,,,,,,,
